Arc time (s)	Amperage (A)	Voltage (V)	Wire feed speed (in/min)	WeldScore (%)	Global scale factor	True Energy (J)
0.781	81.2	15.4	180	0.0	-0.2664	945
1.000	75.5	15.7	179	0.0	-0.2382	1174
1.234	74.7	15.8	179	0.0	-0.2584	1528
1.484	74.9	15.8	178	0.0	-0.3050	1761
1.719	75.6	15.7	180	0.0	-0.3154	2003
1.953	75.0	15.7	178	0.0	-0.3057	2351
2.172	69.9	15.4	179	0.0	-0.2409	2562
2.422	75.9	15.1	179	0.0	-0.2384	2799
2.672	74.2	14.9	179	0.0	-0.2508	3124
2.953	78.1	15.6	179	0.0	-0.2362	3489
3.187	80.2	16.0	178	0.0	-0.2459	3742
3.406	81.1	15.9	180	0.0	-0.2707	3992
3.640	81.2	15.9	179	0.0	-0.2889	4372
3.890	76.8	15.7	178	0.0	-0.2357	4603
4.140	79.0	15.1	179	0.0	-0.2294	4965
4.375	80.6	15.2	179	0.0	-0.2190	5199
4.609	74.0	15.1	181	0.0	-0.0976	5435
4.844	74.6	15.1	181	0.0	-0.2049	5777
5.109	78.3	15.7	178	0.0	-0.1883	6028
5.344	81.0	16.0	181	0.0	-0.2163	6414
5.578	80.9	16.1	179	0.0	-0.2661	6670
5.812	76.1	15.7	178	0.0	-0.2520	6902
6.047	76.5	15.2	180	0.0	-0.2018	7262
6.297	75.4	15.4	179	0.0	-0.2214	7475
6.515	77.6	15.4	180	0.0	-0.2336	7725
6.750	78.4	15.6	180	0.0	-0.2125	8093
6.984	80.8	15.9	179	0.0	-0.2539	8344
7.219	81.6	16.0	180	0.0	-0.2569	8600
7.469	79.6	15.9	179	0.0	-0.3021	8979
7.719	78.9	15.4	178	0.0	-0.1596	9218
7.953	75.9	15.5	180	0.0	-0.2545	9555
8.172	72.1	15.5	179	0.0	-0.2685	9781
8.422	74.6	15.7	180	0.0	-0.2487	10016
8.672	78.6	15.8	179	0.0	-0.2891	10388
8.906	80.8	15.8	179	0.0	-0.2952	10641
9.140	81.1	15.8	179	0.0	-0.3264	11016
9.359	78.9	15.6	179	0.0	-0.2410	11260
9.609	79.7	15.2	180	0.0	-0.2586	11491
9.844	77.1	15.4	180	0.0	-0.2909	11834
10.078	76.2	15.5	179	0.0	-0.3020	12077
10.312	75.2	15.7	178	0.0	-0.3245	12299
10.547	76.2	15.8	177	0.0	-0.3196	12661
6/23/2025 3:05:29 PM
0.000	61.7	24.1	194	0.0	-0.0265	289
0.312	86.3	17.8	180	0.0	-0.1548	699
0.547	81.9	16.1	180	0.0	-0.1980	1086
0.781	77.3	16.2	179	0.0	-0.1627	1330
1.015	75.3	16.2	179	0.0	-0.2207	1572
1.250	75.8	16.0	179	0.0	-0.2517	1935
1.484	77.6	15.9	179	0.0	-0.2459	2178
1.734	77.1	16.0	180	0.0	-0.2768	2548
2.000	76.5	16.0	179	0.0	-0.3364	2785
2.234	76.1	16.0	179	0.0	-0.3282	3145
2.468	76.0	16.0	178	0.0	-0.3594	3382
2.703	75.7	15.6	179	0.0	-0.3319	3613
2.937	75.3	15.3	179	0.0	-0.3151	3961
3.187	74.6	15.4	178	0.0	-0.3417	4188
3.422	75.6	15.8	179	0.0	-0.3401	4539
3.672	75.7	15.9	178	0.0	-0.3966	4776
3.906	74.6	15.9	179	0.0	-0.3808	5008
4.140	74.5	15.8	179	0.0	-0.3788	5352
4.359	74.4	15.7	179	0.0	-0.3817	5585
4.609	76.2	15.5	179	0.0	-0.4064	5819
4.843	77.5	15.6	179	0.0	-0.4100	6174
5.078	80.1	15.3	178	0.0	-0.3119	6418
5.312	80.4	15.1	179	0.0	-0.3367	6660
5.547	81.5	15.3	177	0.0	-0.3591	7025
5.781	77.2	15.5	180	0.0	-0.3593	7255
6.047	78.7	15.4	179	0.0	-0.3569	7615
6.297	78.4	15.4	179	0.0	-0.3487	7843
6.531	78.0	15.5	179	0.0	-0.3204	8195
6.765	77.0	15.4	178	0.0	-0.3095	8434
7.000	78.0	15.7	180	0.0	-0.3247	8679
7.234	78.7	15.9	179	0.0	-0.3438	9045
7.484	76.1	15.9	178	0.0	-0.3618	9278
7.718	74.2	15.8	179	0.0	-0.2774	9504
7.953	79.0	15.3	180	0.0	-0.3515	9867
8.218	77.0	15.2	179	0.0	-0.3287	10197
8.468	75.3	15.4	179	0.0	-0.3244	10437
8.718	78.6	15.6	178	0.0	-0.3239	10682
8.953	80.7	15.7	179	0.0	-0.3220	11054
9.187	79.0	15.6	178	0.0	-0.3238	11295
9.437	77.0	15.7	178	0.0	-0.3569	11650
9.672	77.2	15.8	178	0.0	-0.3525	11889
9.922	75.3	15.8	180	0.0	-0.3590	12121
10.172	76.1	15.7	178	0.0	-0.3258	12471
10.390	85.9	15.3	179	0.0	-0.2492	12734
6/23/2025 3:08:39 PM
0.000	38.8	22.1	216	0.0	-0.0214	288
0.282	88.0	19.7	180	0.0	-0.0174	563
0.516	79.4	16.3	178	0.0	-0.1490	924
0.750	69.2	16.0	180	0.0	-0.1758	1128
0.985	73.0	16.5	179	0.0	-0.1852	1496
1.235	76.0	16.4	179	0.0	-0.2406	1744
1.469	76.7	16.2	179	0.0	-0.2564	1987
1.703	75.6	16.1	178	0.0	-0.3038	2345
1.938	77.2	15.8	179	0.0	-0.2644	2591
2.172	77.4	15.7	179	0.0	-0.2730	2836
2.407	77.1	15.7	179	0.0	-0.2899	3192
2.641	76.7	15.9	179	0.0	-0.3516	3432
2.875	75.6	15.9	179	0.0	-0.3589	3664
3.110	76.1	15.9	179	0.0	-0.3625	4023
3.360	76.9	15.8	179	0.0	-0.3632	4262
3.594	78.0	15.7	180	0.0	-0.3639	4622
3.828	78.4	15.7	179	0.0	-0.3612	4863
4.063	77.5	15.8	180	0.0	-0.3590	5101
4.297	76.8	15.7	179	0.0	-0.3719	5456
4.532	74.1	15.6	177	0.0	-0.4086	5673
4.782	72.8	15.6	178	0.0	-0.4042	5896
5.016	73.2	15.7	179	0.0	-0.4228	6233
5.266	75.5	15.6	179	0.0	-0.3788	6464
5.485	77.9	15.4	179	0.0	-0.3392	6697
5.719	80.1	15.2	179	0.0	-0.3613	7057
5.969	80.3	15.3	179	0.0	-0.3264	7300
6.235	76.4	15.3	180	0.0	-0.3184	7645
6.485	71.4	15.5	179	0.0	-0.3190	7864
6.719	74.4	15.8	180	0.0	-0.3583	8205
6.953	75.9	15.9	179	0.0	-0.3842	8441
7.203	79.6	15.7	180	0.0	-0.4002	8801
7.438	82.1	15.5	179	0.0	-0.3834	9053
7.672	81.4	15.4	178	0.0	-0.3772	9299
7.907	79.4	15.3	179	0.0	-0.3334	9643
8.141	74.8	15.5	179	0.0	-0.3811	9877
8.391	74.4	15.8	179	0.0	-0.4025	10216
8.641	75.2	15.9	178	0.0	-0.4125	10449
8.875	77.7	15.8	178	0.0	-0.4141	10683
9.110	80.8	15.5	179	0.0	-0.3868	11055
9.360	84.4	15.3	179	0.0	-0.3768	11301
9.610	81.8	15.4	180	0.0	-0.3314	11665
9.875	77.9	15.2	179	0.0	-0.3531	11896
10.125	76.9	15.6	179	0.0	-0.3456	12250
10.360	76.1	15.7	180	0.0	-0.3852	12477
6/23/2025 3:11:50 PM
0.000	0.0	11.5	62	0.0	0.0000	0
0.281	59.2	26.4	163	0.0	-0.5066	404
0.516	79.3	17.3	177	0.0	-0.5011	623
0.750	74.9	15.0	180	0.0	-0.4720	825
1.000	75.2	15.2	179	0.0	-0.4700	1158
1.234	76.8	15.2	178	0.0	-0.4294	1385
1.469	76.2	15.2	179	0.0	-0.4138	1723
1.719	75.7	15.3	179	0.0	-0.3754	1947
1.937	77.2	15.3	179	0.0	-0.3881	2181
2.219	78.9	15.3	180	0.0	-0.3923	2534
2.453	80.5	15.2	178	0.0	-0.3787	2897
2.703	77.8	15.1	179	0.0	-0.3290	3122
2.937	74.7	15.2	179	0.0	-0.3408	3345
3.172	74.0	15.5	179	0.0	-0.3406	3688
3.422	73.8	15.6	179	0.0	-0.2865	3909
3.672	74.3	15.6	179	0.0	-0.3460	4261
3.953	76.5	15.5	179	0.0	-0.3459	4499
4.172	79.8	15.6	179	0.0	-0.3316	4871
4.406	81.2	15.7	179	0.0	-0.3436	5125
4.656	80.3	15.7	180	0.0	-0.3596	5495
4.891	78.0	15.8	179	0.0	-0.3551	5729
5.109	76.2	15.2	179	0.0	-0.2787	5962
5.344	75.8	15.2	179	0.0	-0.3014	6189
5.594	77.7	15.8	179	0.0	-0.3397	6550
5.828	77.4	15.9	179	0.0	-0.3568	6788
6.062	78.5	15.8	178	0.0	-0.3888	7153
6.297	77.4	15.7	179	0.0	-0.3966	7390
6.531	76.7	15.7	179	0.0	-0.3938	7625
6.797	77.3	15.3	179	0.0	-0.3595	7979
7.031	76.7	15.4	179	0.0	-0.3714	8212
7.266	74.4	15.6	178	0.0	-0.3562	8549
7.516	75.8	15.7	180	0.0	-0.3765	8789
7.734	77.9	15.8	179	0.0	-0.3683	9031
7.984	78.4	15.8	178	0.0	-0.4064	9390
8.219	76.5	15.8	178	0.0	-0.4008	9628
8.469	78.1	15.6	179	0.0	-0.4088	9981
8.719	76.9	15.4	179	0.0	-0.3658	10215
8.969	74.3	15.5	179	0.0	-0.3551	10553
9.187	74.5	15.6	178	0.0	-0.4069	10779
9.437	76.7	15.7	179	0.0	-0.4143	11015
9.687	77.0	15.7	177	0.0	-0.4158	11367
9.937	76.3	15.7	179	0.0	-0.4051	11604
10.156	76.3	15.7	180	0.0	-0.4375	11956
10.391	76.0	15.6	178	0.0	-0.4176	12188
6/23/2025 3:15:01 PM
0.000	16.7	20.4	187	0.0	-0.0709	180
0.328	79.2	20.3	179	0.0	-0.0818	571
0.562	79.8	16.4	178	0.0	-0.1296	825
0.781	77.0	15.9	178	0.0	-0.1337	1067
1.031	74.6	15.9	179	0.0	-0.1674	1432
1.265	73.9	15.8	179	0.0	-0.0575	1657
1.500	74.4	15.8	179	0.0	-0.1946	2016
1.718	76.5	16.0	180	0.0	-0.1902	2267
1.968	76.4	16.2	179	0.0	-0.2289	2507
2.203	76.5	16.3	180	0.0	-0.2973	2876
2.437	77.4	16.2	178	0.0	-0.2957	3127
2.671	77.5	16.1	179	0.0	-0.3186	3374
2.890	77.0	15.9	179	0.0	-0.3529	3737
3.140	77.8	15.8	177	0.0	-0.3351	3980
3.390	75.3	15.9	179	0.0	-0.3697	4214
3.625	73.6	15.5	178	0.0	-0.3199	4550
3.875	83.5	14.9	178	0.0	-0.3233	4810
4.109	83.7	15.4	179	0.0	-0.3391	5162
4.343	75.1	15.4	180	0.0	-0.2815	5371
4.593	75.4	15.6	179	0.0	-0.3346	5734
4.843	76.7	15.8	179	0.0	-0.3512	5971
5.078	76.7	15.7	179	0.0	-0.2936	6207
5.312	75.4	15.6	180	0.0	-0.3053	6550
5.531	75.0	15.4	180	0.0	-0.3306	6776
5.781	74.9	15.4	180	0.0	-0.2573	7011
6.015	76.3	15.4	180	0.0	-0.2552	7351
6.265	79.1	15.6	179	0.0	-0.3353	7601
6.500	79.9	15.8	180	0.0	-0.3085	7973
6.734	79.5	15.8	178	0.0	-0.3265	8216
6.968	74.4	15.8	178	0.0	-0.3771	8443
7.234	70.8	15.3	179	0.0	-0.3455	8765
7.468	74.2	15.5	178	0.0	-0.3616	9003
7.703	77.0	15.5	179	0.0	-0.3018	9349
7.937	78.6	15.6	180	0.0	-0.3469	9596
8.187	79.2	15.7	179	0.0	-0.3506	9845
8.421	78.6	15.8	180	0.0	-0.3527	10206
8.656	74.9	15.9	179	0.0	-0.4035	10434
8.906	73.4	15.9	179	0.0	-0.3709	10778
9.125	75.0	15.7	179	0.0	-0.4067	11016
9.375	76.5	15.6	179	0.0	-0.3766	11253
9.609	78.1	15.5	179	0.0	-0.4092	11607
9.843	79.7	15.6	178	0.0	-0.4184	11854
10.062	78.1	15.7	178	0.0	-0.4253	12088
10.296	77.6	15.7	179	0.0	-0.4290	12444
10.546	76.2	15.5	0	0.0	-0.2806	12675
6/23/2025 3:18:12 PM
0.000	21.9	39.3	231	0.0	0.0000	132
0.281	52.7	31.7	188	0.0	-0.1497	442
0.515	71.5	17.0	179	0.0	-0.2256	683
0.750	75.2	15.3	179	0.0	-0.2623	922
1.000	75.3	15.9	178	0.0	-0.2891	1280
1.234	75.1	16.1	180	0.0	-0.3466	1514
1.484	77.3	16.0	179	0.0	-0.3155	1869
1.718	76.4	15.5	179	0.0	-0.2883	2109
1.953	74.9	15.5	179	0.0	-0.3450	2329
2.187	75.5	15.5	178	0.0	-0.2470	2665
2.422	78.2	15.7	179	0.0	-0.3452	2916
2.672	78.7	15.9	178	0.0	-0.3562	3281
2.906	77.0	15.7	180	0.0	-0.3497	3514
3.140	76.4	15.5	179	0.0	-0.3605	3751
3.375	77.3	15.7	180	0.0	-0.3558	4111
3.609	77.2	15.7	179	0.0	-0.3371	4350
3.843	77.6	15.6	179	0.0	-0.3463	4587
4.078	78.2	15.4	180	0.0	-0.3176	4939
4.328	75.9	15.3	179	0.0	-0.3384	5166
4.578	76.0	15.7	179	0.0	-0.3592	5519
4.812	75.9	15.9	180	0.0	-0.3660	5754
5.047	74.6	15.9	179	0.0	-0.3794	5989
5.297	75.6	15.8	179	0.0	-0.3815	6339
5.531	77.0	15.7	179	0.0	-0.4082	6575
5.765	86.0	15.4	178	0.0	-0.3631	6821
6.015	78.8	15.1	179	0.0	-0.3768	7161
6.234	76.7	15.4	180	0.0	-0.3531	7397
6.484	77.7	15.6	179	0.0	-0.3490	7752
6.734	77.5	15.6	179	0.0	-0.3952	7992
6.984	74.4	15.7	179	0.0	-0.3804	8327
7.218	75.0	15.7	179	0.0	-0.4117	8564
7.453	78.5	15.6	180	0.0	-0.4051	8807
7.687	84.5	15.4	179	0.0	-0.3435	9175
7.922	79.0	15.2	179	0.0	-0.3559	9394
8.172	79.8	15.5	179	0.0	-0.3470	9763
8.406	78.5	15.7	179	0.0	-0.3821	10002
8.640	76.3	15.6	178	0.0	-0.3659	10232
8.875	75.8	15.6	178	0.0	-0.3338	10579
9.125	81.2	15.4	179	0.0	-0.3240	10830
9.375	82.9	15.4	178	0.0	-0.3020	11202
9.625	79.5	15.2	179	0.0	-0.3023	11435
9.843	79.1	15.2	179	0.0	-0.3008	11670
10.093	79.6	15.6	179	0.0	-0.3307	12043
10.328	78.0	15.8	180	0.0	-0.3439	12285
6/23/2025 3:23:22 PM
0.000	5.9	17.1	119	0.0	-0.5832	38
0.297	64.9	24.4	174	0.0	-0.2334	435
0.531	79.1	16.8	177	0.0	-0.3365	667
0.750	76.7	15.4	180	0.0	-0.3524	897
0.984	74.4	15.6	178	0.0	-0.3589	1239
1.234	74.7	15.7	179	0.0	-0.3567	1474
1.469	75.0	15.7	180	0.0	-0.3659	1705
1.719	74.3	15.8	178	0.0	-0.3652	2055
1.969	80.8	15.4	178	0.0	-0.3508	2298
2.188	80.6	15.4	179	0.0	-0.3574	2662
2.422	78.1	15.6	179	0.0	-0.3358	2900
2.672	76.9	15.5	179	0.0	-0.3589	3130
2.906	79.3	15.6	180	0.0	-0.3416	3491
3.141	76.6	15.7	179	0.0	-0.3453	3723
3.375	76.5	15.8	179	0.0	-0.3640	4074
3.609	76.1	15.7	179	0.0	-0.3440	4308
3.859	78.8	15.4	181	0.0	-0.3720	4555
4.109	77.1	15.5	179	0.0	-0.3677	4899
4.344	76.8	15.8	179	0.0	-0.3879	5135
4.578	76.8	15.8	180	0.0	-0.3865	5488
4.813	76.7	15.5	178	0.0	-0.2954	5717
5.063	77.5	15.2	179	0.0	-0.3639	5954
5.297	76.9	15.3	178	0.0	-0.3191	6299
5.516	73.1	15.5	180	0.0	-0.3567	6518
5.750	74.2	15.5	179	0.0	-0.3608	6750
5.984	74.2	15.4	177	0.0	-0.3300	7084
6.234	75.3	15.5	180	0.0	-0.3563	7315
6.500	79.2	15.7	179	0.0	-0.3150	7686
6.766	82.6	15.5	179	0.0	-0.3458	7939
7.000	81.9	15.8	180	0.0	-0.3613	8314
7.234	78.8	15.8	179	0.0	-0.3668	8550
7.484	74.6	15.5	179	0.0	-0.3312	8894
7.781	74.1	15.4	180	0.0	-0.3394	9112
8.016	74.7	15.7	180	0.0	-0.3875	9454
8.266	79.4	15.8	179	0.0	-0.3507	9701
8.500	81.5	15.7	178	0.0	-0.4004	10074
8.750	82.4	15.6	180	0.0	-0.3705	10316
8.969	77.0	15.7	178	0.0	-0.3970	10665
9.203	72.6	15.6	180	0.0	-0.2924	10882
9.453	73.5	15.2	179	0.0	-0.3838	11099
9.688	74.8	15.5	179	0.0	-0.3957	11446
9.938	77.9	15.7	179	0.0	-0.3688	11690
10.172	82.7	15.6	179	0.0	-0.3872	12071
10.406	83.3	15.6	179	0.0	-0.3750	12324
6/23/2025 3:28:33 PM
0.000	0.0	8.6	23	0.0	0.0000	4
0.296	64.3	25.0	165	0.0	-0.1593	332
0.531	80.4	17.3	178	0.0	-0.2860	674
0.781	77.0	15.6	179	0.0	-0.3245	912
1.031	74.6	15.9	180	0.0	-0.3334	1257
1.265	76.9	16.0	179	0.0	-0.3541	1498
1.500	76.4	15.9	179	0.0	-0.3525	1854
1.734	75.9	15.9	180	0.0	-0.3576	2093
1.968	76.4	15.7	179	0.0	-0.3817	2328
2.203	73.9	15.7	180	0.0	-0.4105	2667
2.453	73.7	15.7	178	0.0	-0.3958	2896
2.687	77.2	15.7	179	0.0	-0.4005	3135
2.921	81.1	15.4	179	0.0	-0.4060	3495
3.171	81.3	15.7	178	0.0	-0.4133	3745
3.406	76.8	15.8	179	0.0	-0.4053	4094
3.625	73.2	15.6	180	0.0	-0.4295	4314
3.875	74.2	15.6	180	0.0	-0.3636	4542
4.109	75.5	15.6	180	0.0	-0.4285	4887
4.343	77.1	15.6	180	0.0	-0.4266	5128
4.578	79.6	15.4	180	0.0	-0.2970	5368
4.828	78.6	15.2	178	0.0	-0.3884	5717
5.062	77.3	15.4	179	0.0	-0.3574	5949
5.312	73.4	15.5	179	0.0	-0.3229	6281
5.546	75.0	15.4	178	0.0	-0.3476	6517
5.796	77.4	15.4	179	0.0	-0.3563	6876
6.046	80.1	15.5	179	0.0	-0.3581	7117
6.312	79.5	15.5	178	0.0	-0.3271	7476
6.546	77.6	15.4	179	0.0	-0.2921	7712
6.796	72.8	15.1	178	0.0	-0.2390	8029
7.046	73.5	15.3	179	0.0	-0.1718	8267
7.281	78.4	15.5	180	0.0	-0.3147	8505
7.515	80.4	15.7	179	0.0	-0.3137	8878
7.750	81.0	15.7	179	0.0	-0.3199	9130
7.984	79.8	15.7	180	0.0	-0.3271	9375
8.218	76.0	15.4	180	0.0	-0.2291	9716
8.437	71.4	15.0	178	0.0	-0.2620	9932
8.671	73.0	15.2	179	0.0	-0.2222	10161
8.921	79.3	15.7	179	0.0	-0.2684	10526
9.156	81.1	15.8	177	0.0	-0.2521	10780
9.390	79.7	15.8	179	0.0	-0.2726	11146
9.625	78.6	15.6	178	0.0	-0.2470	11384
9.859	74.0	15.1	179	0.0	-0.2483	11608
10.109	70.9	15.1	178	0.0	-0.2261	11934
10.359	76.2	15.6	180	0.0	-0.2404	12177
10.593	81.7	15.7	0	0.0	-0.1112	12435
